element_id,position,shape,bounding_box,fillcolor,opacity,bordercolor,borderwidth,orientation,data
0,"(42, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",0.5,,0,0,
1,"(102, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",1.0,,0,0,
2,"(162, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",0.5,,0,0,
3,"(222, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",1.0,,0,0,
4,"(282, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",0.5,,0,0,
5,"(342, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",1.0,,0,0,
6,"(402, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",0.5,,0,0,
7,"(462, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",1.0,,0,0,
8,"(522, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",0.5,,0,0,
9,"(582, 42)",<class 'octa.shapes.Rectangle.Rectangle'>,"(45, 45)","['radial', 'white', 'red']",1.0,,0,0,
10,"(42, 102)",<class 'octa.shapes.Path.Path_'>,"(45, 45)",green,0.5,,0,0,"['M37.5,186c-12.1-10.5-11.8-32.3-7.2-46.7c4.8-15,13.1-17.8,30.1-36.7C91,68.8,83.5,56.7,103.4,45 c22.2-13.1,51.1-9.5,69.6-1.6c18.1,7.8,15.7,15.3,43.3,33.2c28.8,18.8,37.2,14.3,46.7,27.9c15.6,22.3,6.4,53.3,4.4,60.2 c-3.3,11.2-7.1,23.9-18.5,32c-16.3,11.5-29.5,0.7-48.6,11c-16.2,8.7-12.6,19.7-28.2,33.2c-22.7,19.7-63.8,25.7-79.9,9.7 c-15.2-15.1,0.3-41.7-16.6-54.9C63,186,49.7,196.7,37.5,186z', 288, 288]"
11,"(102, 102)",<class 'octa.shapes.Path.Path_'>,"(45, 45)",green,1.0,,0,0,"['M37.5,186c-12.1-10.5-11.8-32.3-7.2-46.7c4.8-15,13.1-17.8,30.1-36.7C91,68.8,83.5,56.7,103.4,45 c22.2-13.1,51.1-9.5,69.6-1.6c18.1,7.8,15.7,15.3,43.3,33.2c28.8,18.8,37.2,14.3,46.7,27.9c15.6,22.3,6.4,53.3,4.4,60.2 c-3.3,11.2-7.1,23.9-18.5,32c-16.3,11.5-29.5,0.7-48.6,11c-16.2,8.7-12.6,19.7-28.2,33.2c-22.7,19.7-63.8,25.7-79.9,9.7 c-15.2-15.1,0.3-41.7-16.6-54.9C63,186,49.7,196.7,37.5,186z', 288, 288]"
12,"(162, 102)",<class 'octa.shapes.Path.Path_'>,"(45, 45)",green,0.5,,0,0,"['M37.5,186c-12.1-10.5-11.8-32.3-7.2-46.7c4.8-15,13.1-17.8,30.1-36.7C91,68.8,83.5,56.7,103.4,45 c22.2-13.1,51.1-9.5,69.6-1.6c18.1,7.8,15.7,15.3,43.3,33.2c28.8,18.8,37.2,14.3,46.7,27.9c15.6,22.3,6.4,53.3,4.4,60.2 c-3.3,11.2-7.1,23.9-18.5,32c-16.3,11.5-29.5,0.7-48.6,11c-16.2,8.7-12.6,19.7-28.2,33.2c-22.7,19.7-63.8,25.7-79.9,9.7 c-15.2-15.1,0.3-41.7-16.6-54.9C63,186,49.7,196.7,37.5,186z', 288, 288]"
13,"(222, 102)",<class 'octa.shapes.Path.Path_'>,"(45, 45)",green,1.0,,0,0,"['M37.5,186c-12.1-10.5-11.8-32.3-7.2-46.7c4.8-15,13.1-17.8,30.1-36.7C91,68.8,83.5,56.7,103.4,45 c22.2-13.1,51.1-9.5,69.6-1.6c18.1,7.8,15.7,15.3,43.3,33.2c28.8,18.8,37.2,14.3,46.7,27.9c15.6,22.3,6.4,53.3,4.4,60.2 c-3.3,11.2-7.1,23.9-18.5,32c-16.3,11.5-29.5,0.7-48.6,11c-16.2,8.7-12.6,19.7-28.2,33.2c-22.7,19.7-63.8,25.7-79.9,9.7 c-15.2-15.1,0.3-41.7-16.6-54.9C63,186,49.7,196.7,37.5,186z', 288, 288]"
